NP_389445.1|BSU15620	5bbc0913f819f38d27825a9e0a01d5ed	261	Pfam	PF01903	CbiX	10	114	1.3E-28	T	05-02-2023	IPR002762	Sirohydrochlorin cobaltochelatase CbiX-like	GO:0016829
NP_389445.1|BSU15620	5bbc0913f819f38d27825a9e0a01d5ed	261	Pfam	PF01903	CbiX	134	234	7.2E-22	T	05-02-2023	IPR002762	Sirohydrochlorin cobaltochelatase CbiX-like	GO:0016829
NP_389445.1|BSU15620	5bbc0913f819f38d27825a9e0a01d5ed	261	PANTHER	PTHR33542	SIROHYDROCHLORIN FERROCHELATASE, CHLOROPLASTIC	2	243	2.4E-52	T	05-02-2023	-	-
NP_389445.1|BSU15620	5bbc0913f819f38d27825a9e0a01d5ed	261	CDD	cd03414	CbiX_SirB_C	129	242	5.55734E-44	T	05-02-2023	-	-
NP_389445.1|BSU15620	5bbc0913f819f38d27825a9e0a01d5ed	261	CDD	cd03416	CbiX_SirB_N	4	104	1.28882E-35	T	05-02-2023	-	-
NP_389445.1|BSU15620	5bbc0913f819f38d27825a9e0a01d5ed	261	SUPERFAMILY	SSF53800	Chelatase	2	241	8.83E-52	T	05-02-2023	-	-
NP_390268.2|BSU23870	85c20b260e7c9ad5cd979e84709ac315	414	Pfam	PF00817	impB/mucB/samB family	11	158	4.1E-50	T	05-02-2023	IPR001126	UmuC domain	GO:0006281
NP_390268.2|BSU23870	85c20b260e7c9ad5cd979e84709ac315	414	FunFam	G3DSA:3.40.1170.60:FF:000001	DNA polymerase IV	25	78	6.1E-23	T	05-02-2023	-	-
NP_390268.2|BSU23870	85c20b260e7c9ad5cd979e84709ac315	414	PANTHER	PTHR11076	DNA REPAIR POLYMERASE UMUC / TRANSFERASE FAMILY MEMBER	4	371	1.8E-97	T	05-02-2023	-	-
NP_390268.2|BSU23870	85c20b260e7c9ad5cd979e84709ac315	414	FunFam	G3DSA:1.10.150.20:FF:000061	DNA polymerase IV	172	239	3.5E-31	T	05-02-2023	-	-
NP_390268.2|BSU23870	85c20b260e7c9ad5cd979e84709ac315	414	Pfam	PF11799	impB/mucB/samB family C-terminal domain	247	357	3.4E-21	T	05-02-2023	IPR017961	DNA polymerase, Y-family, little finger domain	GO:0003684|GO:0006281
NP_390268.2|BSU23870	85c20b260e7c9ad5cd979e84709ac315	414	SUPERFAMILY	SSF56672	DNA/RNA polymerases	4	238	1.78E-83	T	05-02-2023	IPR043502	DNA/RNA polymerase superfamily	-
